Universidade Federal do Paraná and Genetika|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná Centro de Estudos do Mar|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná R/CNPq|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná -UFPR|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná,|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná, Campus Curitiba|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná, Curitiba|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná.|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná. Bolsista da Reestruturação e Expansão das Universidades Federais|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná/|Universidade Federal do Paraná|Brazil
Universidade Federal do Paraná/UFPR|Universidade Federal do Paraná|Brazil
Universidade Federal do Parará|Universidade Federal do Paraná|Brazil
Universidade Federal do Pernambuco|Universidade Federal de Pernambuco|Brazil
Universidade Federal do Pernambuco/UFPE|Universidade Federal de Pernambuco|Brazil
Universidade Federal do Piau|Universidade Federal do Piauí|Brazil
Universidade Federal do PIAUÃ (CPCE/UFPI)|UNIVERSIDADE FEDERAL DO PIAUÍ|Brazil
Universidade Federal do Piaui|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí - Floriano|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí - UFPI|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí (|Universidade Federal do Piauí|Brazil
Universidade Federal do PIAUí (CCA/DEAS/UFPI)|Universidade Federal do Piauí|Brazil
Universidade Federal do PIAUÍ (CPCE/UFPI)|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí (UFPI)|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí -Campus Parnaíba|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí e Hospital São Marcos|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí Herbário Graziela Barroso|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí/UFPI|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí-Campus Universitário da Socopo|Universidade Federal do Piauí|Brazil
Universidade Federal do Piauí-Floriano|Universidade Federal do Piauí|Brazil
Universidade Federal do R. G. do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do RecÃ´ncavo Baiano (UFRB)|UNIVERSIDADE FEDERAL DO RECÔNCAVO BAIANO|Brazil
Universidade Federal do RecÃ´ncavo da Bahia - UFRB|UNIVERSIDADE FEDERAL DO RECÔNCAVO BAIANO|Brazil
Universidade Federal do RecÃ´ncavo da Bahia (UFRB)|UNIVERSIDADE FEDERAL DO RECÔNCAVO BAIANO|Brazil
Universidade Federal do RecÃ´ncavo da Bahia/UFRB|UNIVERSIDADE FEDERAL DO RECÔNCAVO BAIANO|Brazil
UNIVERSIDADE FEDERAL DO RECÃ”NCAVO DA BAHIA (UFRB)|UNIVERSIDADE FEDERAL DO RECÔNCAVO BAIANO|Brazil
Universidade Federal do Recôncavo|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Recôncavo Baiano|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Recôncavo Baiano (UFRB)|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Recôncavo da Bahi|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Recôncavo da Bahia - UFRB|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Reconcavo da Bahia (UFRB)|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Recôncavo da Bahia/UFRB|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Reconcavo de Bahia (UFRB)|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Rio de                   Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de                Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de             Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro - Centro de Tecnologia|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro - RJ|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro  UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro - UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro (HUCFF-UFRJ)|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro (IPUB/UFRJ)|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro (IPUB-UFRJ)|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro (MNRJ),|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro (RJ)|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro (UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro (UFRJ)|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro (UFRJ),Instituto de Filosofia e Ciências Sociais (IFCS)|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro Caixa Postal|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro CCMN Bloco C|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro CCS|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro PEE-COPPE|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro Quinta da Boa Vista|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro Rua das Palmeiras|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro UNIIO|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro Universidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro,|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro, Brazil|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro, Cidade Universitária|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro, COPPE|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro, Ilha do Fundão|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro, Museu Nacional|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro, Quinta da Boa Vista|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro, Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro, UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro,Museu Nacional|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro.|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro/UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro-RJ|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de Janeiro-UFRJ|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de JaneiroUniversidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio de JaneirUniversidade Federal do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio deJaneiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio do Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio do Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Río do Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Gande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grabde do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande  FURG|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grande - FURG|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grande (FURG)|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grande da Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Rio Grande de Pelotas|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grande do |Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do                Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Nore|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte  UFRN|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte - UFRN|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte (UFRN)|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte Natal|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte UFRN|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte, Programa de Pós-Graduação em Educação|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte, UFRN|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte.|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte/UFRN|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte-Brasil|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte-RN|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Norte-UFRN|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande do Sil|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul  ( UFRGS )|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul - PPGA/EA/UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul - UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul - UFRS|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul ( UFRGS )|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul (PPGENF/UFRGS)|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul (PPGE-UFRGS)|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul (RS)|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul (UFRGS)|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul (UFRGS),|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul (UFRGS).|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul (UFRGS)Universidade Federal do Rio Grande do Sul (UFRGS)|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul (UFRS)|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul Porto Alegre|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do sul Universidade do Rio Grande|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul,|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul, brasil|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul, e Hospital Moinhos de Vento de Porto Alegre|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul, Porto|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul, Porto Alegre|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul, UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul,Instituto de Biociências|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul,Rua Osvaldo Aranha|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul.|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul/UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
"Universidade Federal do Rio Grande do Sul; Campus do Vale"|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Suld|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sull|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do SulParaná|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sul-UFRGS|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande do Sulv|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande dos Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande -FURG/RS-|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grande Norte|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal do Rio Grande Rio Grande.|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grande so Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grande, Av. Itália|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grande. Rio Grande|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grande/FURG|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grandedo Sul|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio GrandeLíder do Grupo de Pesquisa Viver Mulher|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal do Rio Grando de Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grando do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Grando Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rio Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do RioGrande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Riuo Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rocôncavo Baiano|Universidade Federal do Recôncavo Baiano|Brazil
Universidade Federal do Rrio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Rural do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal do Santa Maria (UFSM)|Universidade Federal de Santa Maria|Brazil
Universidade Federal do São Paulo|Universidade Federal de São Paulo|Brazil
Universidade Federal do Semi-Ãrido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal do Semi-Ãrido/UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal do Semi-Arido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal do Semiárido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal do Semi-Árido|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal do Semi-Árido/UFERSA|Universidade Federal Rural do Semi-Árido|Brazil
Universidade Federal do Sergipe (UFS)|Universidade Federal de Sergipe|Brazil
Universidade Federal do Sul de Santa Catarina|Universidade Federal da Fronteira Sul|Brazil
Universidade Federal Do Tio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal do Tocantins|Universidade Federal do Tocantins|Brazil
Universidade Federal do Tocantins - UFT|Universidade Federal do Tocantins|Brazil
Universidade Federal do Tocantins (UFT)|Universidade Federal do Tocantins|Brazil
Universidade Federal do Tocantins Campus de Arraias|Universidade Federal do Tocantins|Brazil
Universidade Federal do Tocantins/UFT|Universidade Federal do Tocantins|Brazil
Universidade Federal do Tocantis|Universidade Federal do Tocantins|Brazil
Universidade Federal do Tri angulo Mineiro -           UFTM|Universidade Federal do Triângulo Mineiro|Brazil
Universidade Federal do Triângulo|Universidade Federal do Triângulo Mineiro|Brazil
Universidade Federal do Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
Universidade Federal do Triângulo Mineiro - UFTM|Universidade Federal do Triângulo Mineiro|Brazil
universidade federal do triângulo mineiro (icbn/uftm)|Universidade Federal do Triângulo Mineiro|Brazil
Universidade Federal do Triângulo Mineiro (UFTM)|Universidade Federal do Triângulo Mineiro|Brazil
Universidade Federal do Triângulo Mineiro Uberaba-MG|Universidade Federal do Triângulo Mineiro|Brazil
Universidade Federal do Triângulo Mineiro-UFTM|Universidade Federal do Triângulo Mineiro|Brazil
Universidade Federal do Vale de São Francisco|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal do Vale do Jequitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal do Vale do São Francisc|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal do Vale do Sao Francisco|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal do Vale do Sao Francisco  UNIVASF|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal do Vale do São Francisco (UFVSF)|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal do Vale do São Francisco (UNIVASF)|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal do Vale do Sao Francisco UNIVASF|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal do Vale do São Francisco, Ceagro|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal do Vale do São Francisco-UNIVASF|Universidade Federal do Vale do São Francisco|Brazil
Universidade Federal doAcre|Universidade Federal do Acre|Brazil
Universidade Federal doRio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal doRio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal dos Pampas|Universidade Federal do Pampa|Brazil
Universidade Federal dos Vale do Jequitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales de Jequitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequetinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequinhonha e Mucuri/UFVJM|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequitinhonha e Mucur|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequitinhonha e Mucuri - UFVJM|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequitinhonha e Mucuri,|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequitinhonha e Mucuri, Diamantina|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jequitinhonha e Mucuri/UFVJM|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales do Jetiquitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal dos Vales dos Jequitinhonha e Mucuri|Universidade Federal dos Vales do Jequitinhonha e Mucuri|Brazil
Universidade Federal Espírito Santo|Universidade Federal do Espírito Santo|Brazil
Universidade Federal Estado do Rio de Janeiro|Universidade Federal do Estado do Rio de Janeiro|Brazil
Universidade Federal Federal da Paraíba|Universidade Federal da Paraíba|Brazil
Universidade Federal Fluminenese,Departamento de Microbiologia e Parasitologia, Instituto Biomédico|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense  UFF|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense - UFF|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense (LEM/UFF)|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense (UFF)|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense Brasil|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense Federal|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense LAGEMAR|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal Fluminense Sede Niterói|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense -UFF|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense Universidade Federal Fluminense|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense, Brazil|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense, Campus do Valonguinho|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense, Niterói|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense/RJ|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense-EEAAC/UFF|Universidade Federal Fluminense|Brazil
Universidade Federal Fluminense-UFF|Universidade Federal Fluminense|Brazil
Universidade Federal Fronteira Sul|Universidade Federal da Fronteira do Sul|Brazil
Universidade Federal Grande Dourados|Universidade Federal da Grande Dourados|Brazil
Universidade Federal Juiz de Fora|Universidade Federal de Juiz de Fora|Brazil
Universidade Federal Maranhão|Universidade Federal do Maranhão|Brazil
Universidade Federal Mato do Grosso (UFMT)|Universidade Federal do Mato Grosso|Brazil
Universidade Federal no Paraná|Universidade Federal do Paraná|Brazil
Universidade Federal o Ceará|Universidade Federal do Ceará|Brazil
Universidade Federal o Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal of Ciências da Saúde de Porto Alegre|Universidade Federal de Ciências da Saúde de Porto Alegre|Brazil
Universidade Federal of Rio Grande do Sul|Universidade Federal do Rio Grande do Sul|Brazil
Universidade Federal of Triângulo Mineiro|Universidade Federal do Triângulo Mineiro|Brazil
Universidade Federal Ouro Preto|Universidade Federal de Ouro Preto|Brazil
Universidade Federal Pará|Universidade Federal do Pará|Brazil
Universidade Federal Paraíba|Universidade Federal da Paraíba|Brazil
Universidade Federal Paulista (UNIFESP)|Universidade Federal de São Paulo|Brazil
Universidade Federal Piauí|Universidade Federal do Piauí|Brazil
Universidade Federal Rio de Janeiro (UFRJ)|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal Rio Grande|Fundação Universidade Federal do Rio Grande|Brazil
Universidade Federal Rio Grande do Norte|Universidade Federal do Rio Grande do Norte|Brazil
Universidade Federal Rual do Rio de Janeiro|Universidade Federal do Rio de Janeiro|Brazil
Universidade Federal Rural|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural da AmazÃ´nia - UFRA|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural da AmazÃ´nia (UFRA)|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural da AmazÃ´nia- UFRA|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural da AmazÃ´nia-UFRA|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural da Amazônia|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural da Amazônia - UFRA|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural da Amazônia (UFRA)|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural da Amazônia- UFRA|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural da Amazônia-UFRA|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural de Lavras|Universidade Federal de Lavras|Brazil
Universidade Federal Rural de Pemanbuco (UFRPE)|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Permanbuco|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuc|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco  UFRPE|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco - UFRPE|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco (UFRP)|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco (UFRPE)|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco (UFRPE.)|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco .|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco(UFRPE)|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco,|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco, Dois Irmãos|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco, Recife|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco.|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco. UFRPE|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco/UFRPE|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernambuco-UFRPE|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernanbuco|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Pernanbuco (UFRPE)|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural de Río de Janeiro (UFRRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural de Roraima|Universidade Federal de Roraima|Brazil
Universidade Federal Rural do Amazona|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural do Amazonas|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural do Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Pará|Universidade Federal Rural da Amazônia|Brazil
Universidade Federal Rural do Pernambuco|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural do Pernambuco (UFRPE)|Universidade Federal Rural de Pernambuco|Brazil
Universidade Federal Rural do Rio de Janeiro|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro  UFRRJ|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro - UFRRJ|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro (JJFRRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro (UFFRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
Universidade Federal Rural do Rio de Janeiro (UFRRJ)|Universidade Federal Rural do Rio de Janeiro|Brazil
